household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,Primary_Store_ID
1505,1,101,4011.19,2.1244051,537,3,0.00558659217877095,0.7591911764705883,0.19801978237427897,15.49504797078733,0.008423935,0.7919608022872878,0.18268690275435637,0.44456949665408274,0.17220033667867002,-2.5000000000000018,3.0,2.0,0.0,1.0,27.0,1,330
1506,0,121,2082.82,1.7352166,605,4,0.006611570247933884,0.8120915032679739,0.0,8.75206539239129,0.0,0.7187810911525793,0.3276661514683153,0.554179562274152,0.16640866744265737,-1.0000000000000007,2.0,1.0,0.0,1.0,27.0,0,289
1507,0,16,1049.9299,4.8341517,549,14,0.025500910746812388,0.18884892086330934,0.06249996093752441,17.56248902344436,0.001904889,1.6868978475142888,0.3165829145728643,0.49999998737373774,0.10606060338230801,0.4999999999999998,0.0,0.0,0.0,0.0,651.0,0,323
1508,1,68,1471.07,3.4339542,607,4,0.006589785831960461,0.5928338762214984,0.08823528114187042,6.176469679930929,0.0068997396,0.9025772208966211,0.4543973941368078,0.6078431273228248,0.4689542407033621,-1.5000000000000018,2.0,0.0,0.0,0.0,147.0,0,292
1509,0,149,4622.14,2.7233725,593,3,0.00505902192242833,0.9216666666666667,0.02013422683662907,8.67785176658713,0.0017848875,0.7246641085222062,0.10020040080160321,0.43745819105379136,0.10635451433876579,-0.5000000000000026,2.0,2.0,0.0,2.0,5.0,1,429
151,0,42,1028.58,2.294778,535,14,0.026168224299065422,0.37453874538745385,0.11904759070295459,9.023807375283958,0.011569348,2.0972723736373737,0.19917864476386038,0.48865978373897356,0.19175257336592633,-1.7803175061665248e-16,1.0,0.0,0.0,0.0,239.0,0,380
1510,0,1136,8477.24,5.0335197,569,1,0.0017574692442882249,1.0,0.0044014084119594335,3.5880281374293297,0.0009554997,0.41343756026625783,0.11090146750524109,0.38884228106366975,0.1071728185671711,-9.00000000000002,2.0,1.0,1.0,0.0,36.0,0,414
1511,0,135,3429.27,2.0090744,576,2,0.003472222222222222,0.9125214408233275,0.02962962743484241,9.251851166529542,0.0013997148,0.6583102833298596,0.25392038600723765,0.6956521697122454,0.22161835614964762,-1.4242540049332199e-15,3.0,1.0,0.0,0.0,64.0,0,421
1512,0,54,955.39,2.382172,627,36,0.05741626794258373,0.35331230283911674,0.01851851508916387,7.296294945130565,0.0026167324,1.361556196085428,0.336283185840708,0.45777776760493855,0.13555555254320995,-8.901587530832624e-17,1.0,0.0,0.0,0.0,427.0,0,321
1513,0,53,803.63,2.993697,595,25,0.04201680672268908,0.45348837209302323,0.018867920968316798,4.509433111427715,0.0009332653,0.9111990789118943,0.10702341137123746,0.6464646246981608,0.18855218220363024,-0.5000000000000003,0.0,0.0,0.0,0.0,651.0,0,402
1514,0,49,2195.63,2.1651165,556,25,0.044964028776978415,0.44760213143872113,0.2448979092045083,16.836731257809948,0.023637865,0.9013356986451168,0.19480519480519481,0.5055055004453904,0.14014013873733594,-1.000000000000001,0.0,0.0,0.0,0.0,651.0,0,321
1515,0,91,4058.69,2.8670468,600,5,0.008333333333333333,0.6112026359143329,0.07692306846999247,14.065932520227195,0.003313877,1.3782873352274727,0.18941326530612246,0.5051085536072251,0.13154533760188164,0.5,3.0,1.0,2.0,1.0,27.0,0,365
1516,1,15,189.66,3.023521,515,90,0.30097087378640774,0.16091954022988506,0.0,4.533330311113126,0.0,1.1212524244701194,0.3287671232876712,0.6056337175163777,0.1971830708192858,0.0,0.0,0.0,0.0,0.0,651.0,0,422
